severity,severity_multiplier,file,L_gain,K_poisson,sigma_A,psnr_model,ssim_model,psnr_classical,ssim_classical,model_output_finite
1.0x (worst seen in training),1.0,003209.npy,29.320252184569952,31.065673426601712,0.0151402439385018,21.852711937086568,0.4996753394621645,19.39855166042176,0.40673073885412414,True
1.0x (worst seen in training),1.0,001200.npy,29.320252184569952,31.065673426601712,0.0151402439385018,18.677747147840886,0.46339106028003907,15.950719282159564,0.3644904444106329,True
1.0x (worst seen in training),1.0,004264.npy,29.320252184569952,31.065673426601712,0.0151402439385018,21.280384183137684,0.3595854570153888,17.68793266347261,0.23377922493105113,True
1.25x,1.25,002161.npy,23.45620174765596,24.85253874128137,0.01892530492312725,21.025438200847603,0.4207986320679571,17.23608389816829,0.271017648602145,True
1.25x,1.25,003251.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.88642563115899,0.49233652748495804,15.8622466807543,0.38972237926287123,True
1.25x,1.25,003265.npy,23.45620174765596,24.85253874128137,0.01892530492312725,21.385588619286636,0.261637014636486,17.68650506432051,0.16171846810685853,True
1.25x,1.25,003222.npy,23.45620174765596,24.85253874128137,0.01892530492312725,22.397737480242572,0.32383771623569285,18.148544422860923,0.18883177517809613,True
1.25x,1.25,001361.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.30691862986717,0.25869336208798366,17.411283728014478,0.23635425825100992,True
1.25x,1.25,003443.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.61042956843217,0.3391207646782727,16.540586037182003,0.2883006285851678,True
1.25x,1.25,000927.npy,23.45620174765596,24.85253874128137,0.01892530492312725,16.63923955374574,0.4166965763881374,15.366281761185999,0.4238376890063687,True
1.25x,1.25,001447.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.989903399439953,0.18831799337281577,16.02386420113182,0.1432451954041482,True
1.25x,1.25,003616.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.686485918307977,0.12764623767886107,14.801234287245816,0.09202195637206127,True
1.25x,1.25,003787.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.163254055422325,0.3709753568221878,17.71822721755997,0.30449466856474205,True
1.25x,1.25,003808.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.305495178546053,0.543427236953428,15.758504626953284,0.4449331006398022,True
1.25x,1.25,001105.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.197425414313535,0.3822782481754787,16.585263956522212,0.3039537755634326,True
1.25x,1.25,004675.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.91200119667701,0.2947423968125989,16.0401472832362,0.268801626373259,True
1.25x,1.25,002566.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.67523495789991,0.22176460576101503,16.346801773829966,0.17750765271188504,True
1.25x,1.25,000889.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.210611704332123,0.3791737417524834,16.910511892654895,0.3190660580078658,True
1.25x,1.25,002633.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.702463909459944,0.2968605991451603,16.224335901384844,0.25005707485518264,True
1.25x,1.25,003572.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.982215696827925,0.46567412582724876,18.593770972576294,0.4348782786610162,True
1.25x,1.25,004531.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.348608559124823,0.21115419929383622,16.207847046513404,0.17546106515116802,True
1.25x,1.25,003004.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.149823024881847,0.4129244919142176,17.166335227864987,0.358012501700429,True
1.25x,1.25,003810.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.095577122471525,0.21402063811716845,16.367606502878715,0.16875683281025117,True
1.25x,1.25,000711.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.741051913338012,0.3995054994298664,15.660829986987025,0.3579890900239531,True
1.25x,1.25,000488.npy,23.45620174765596,24.85253874128137,0.01892530492312725,16.139365623655927,0.336837083967875,15.099750430884534,0.35195635397567854,True
1.25x,1.25,003062.npy,23.45620174765596,24.85253874128137,0.01892530492312725,15.36422008721285,0.580802829016908,14.233002840850697,0.5564885216078972,True
