file,psnr,ssim,lpips
004766.npy,32.07116326147941,0.8954282394412979,0.06312233209609985
000058.npy,19.830882122252746,0.4933729347197767,0.2669316530227661
000095.npy,24.3373058520525,0.3270299738115752,0.21379436552524567
000113.npy,21.574077941076077,0.6159311193084791,0.1680283099412918
000139.npy,21.75162884838405,0.4519651382665016,0.1836271584033966
000152.npy,21.21434070361184,0.6159132841407089,0.2033984363079071
000285.npy,20.297196321245117,0.4637270401080169,0.23128333687782288
000358.npy,23.022527686149957,0.5851253522945922,0.1756020337343216
000368.npy,20.902151517329113,0.36079946060530993,0.2878229320049286
000377.npy,23.46223565195934,0.6944598449590458,0.15040796995162964
000400.npy,19.741792619420107,0.2670817759951011,0.14717884361743927
000455.npy,25.386343641551782,0.41602624369055896,0.21084894239902496
000473.npy,20.65558789166583,0.3707428371475919,0.24823126196861267
000483.npy,22.98707994715203,0.4072733313823004,0.22311435639858246
000501.npy,21.912508277476263,0.6241808998649034,0.14233125746250153
000528.npy,24.460866283903382,0.5710250189338736,0.18147629499435425
000533.npy,25.987778202599685,0.49130383477711675,0.12263017892837524
000624.npy,24.15504645906505,0.47254815236999465,0.1618403047323227
000646.npy,22.511177956751297,0.2922386109214756,0.16097955405712128
000666.npy,20.73694888723885,0.4227843136196538,0.20645949244499207
000675.npy,23.080330923594357,0.48452181392285776,0.191491037607193
000688.npy,19.130874510782363,0.34290649910214077,0.3009091019630432
000751.npy,22.253371017541443,0.572583275435121,0.18850579857826233
000839.npy,22.821719574077086,0.3215352031836328,0.20305491983890533
000842.npy,24.06416055362353,0.35536374946422017,0.22090841829776764
001005.npy,24.178082949733902,0.4632549652317825,0.1551080197095871
001012.npy,21.9467258601188,0.40771512003120686,0.29103028774261475
001094.npy,21.32893815474588,0.4298668553514675,0.2848280072212219
001135.npy,21.90005872739869,0.40884980887165173,0.24368368089199066
001139.npy,20.567224033562496,0.3949636165846445,0.24774573743343353
001184.npy,22.406134130346473,0.5947607908403063,0.20056533813476562
001189.npy,20.1623459960782,0.38956337997598606,0.2538730800151825
001217.npy,21.159054792758184,0.6594547898732945,0.16931989789009094
001296.npy,20.92970331265043,0.40862376907437065,0.2386174499988556
001297.npy,21.04333255591967,0.4551030385657577,0.19107286632061005
001329.npy,21.570788127711992,0.6227580022039609,0.16774356365203857
001379.npy,22.61520516479925,0.5946929965150235,0.17397268116474152
001444.npy,20.320787610383086,0.45211645722593086,0.21891114115715027
001482.npy,19.975514997657644,0.47535706910975745,0.23163753747940063
001488.npy,22.651888063253534,0.5819938758573996,0.23732638359069824
001570.npy,21.272729061123794,0.4210749174377566,0.22105519473552704
001634.npy,22.159391275072217,0.6080095323480403,0.2035195231437683
001649.npy,26.68612966189137,0.4915868428451251,0.12263119965791702
001673.npy,22.874386549608616,0.3293590717508341,0.17971271276474
001692.npy,22.75720363459735,0.690255354782559,0.14650429785251617
001714.npy,21.41142548832085,0.3516270394556476,0.23347876965999603
001762.npy,20.594326925990934,0.6110930951908641,0.16177141666412354
001778.npy,23.916830430031403,0.2987030537341889,0.17252758145332336
002049.npy,29.841877233332642,0.7191599644375593,0.09273649752140045
002159.npy,28.411780742956402,0.61662822139211,0.15186002850532532
002169.npy,26.448457398529946,0.6304187340043113,0.1552840769290924
002170.npy,27.06857319074636,0.6640290013935454,0.14677102863788605
002198.npy,21.738107292156677,0.42544221898679474,0.22259916365146637
002310.npy,20.707408651729896,0.3971019723899822,0.25368165969848633
002342.npy,28.708296472849998,0.5338416776218414,0.09904354810714722
002346.npy,22.27395067593159,0.3058632656819136,0.1729523092508316
002348.npy,24.428929635396525,0.3478123460008865,0.19419755041599274
002380.npy,31.088760383433684,0.7563236852527396,0.1409030258655548
002433.npy,23.91914441205827,0.4906151450402606,0.16096913814544678
002534.npy,21.58711804628482,0.3223573655374348,0.21823625266551971
002566.npy,23.34488648244092,0.40992431203282115,0.2092733085155487
002619.npy,23.185579206918696,0.7685188020046185,0.08633816987276077
002633.npy,23.447109602611018,0.537556998296456,0.24742692708969116
002647.npy,20.751890704241283,0.3572188586027939,0.24011147022247314
002656.npy,21.710474827836308,0.34103057646842977,0.24454087018966675
002965.npy,27.014882426682032,0.8250692842854261,0.12283515185117722
003038.npy,20.494462920419444,0.2517056013423936,0.1628231704235077
003068.npy,28.89203665812437,0.6997286452939063,0.18576651811599731
003134.npy,30.84535901919935,0.6556482549512684,0.18142879009246826
003428.npy,23.441186135111074,0.39902493105384057,0.17332696914672852
003505.npy,22.483814646512204,0.5763675741728655,0.20246043801307678
003541.npy,22.097257687946893,0.32352360729016827,0.24914336204528809
003553.npy,25.18534318561207,0.7760975862102099,0.14429181814193726
003740.npy,20.957117078997463,0.5677290587274881,0.18202126026153564
003810.npy,23.450954089959307,0.3567565861634962,0.2549512982368469
004285.npy,20.546723199257805,0.34093423850372084,0.304801344871521
004592.npy,19.842568517860943,0.37213837147856643,0.3176976442337036
004631.npy,20.336348872943972,0.4737776170655512,0.22152599692344666
004675.npy,21.745129322628216,0.46428897733415103,0.1587439328432083
000054.npy,23.060959924103525,0.5799473674264541,0.16732048988342285
000055.npy,23.4388762865982,0.5932268564457637,0.16391193866729736
000063.npy,20.57393537821701,0.6249318176528755,0.1724095642566681
000157.npy,23.252170247476283,0.6883876100855097,0.15129002928733826
000211.npy,18.417753319644355,0.5231644175443498,0.21648983657360077
000216.npy,20.677879709037462,0.3648525950219599,0.22688733041286469
000224.npy,25.605299836162338,0.5194365814832048,0.10825630277395248
000873.npy,17.588527086877853,0.3728034167019428,0.28069448471069336
000875.npy,17.434927123651928,0.35207761670790694,0.34234103560447693
001042.npy,19.15906948536267,0.5607686848701927,0.1334955245256424
001049.npy,20.976752531687968,0.5480750721285462,0.2474564015865326
001095.npy,24.921277056504593,0.5167895398257284,0.14722803235054016
001097.npy,23.782653031996315,0.6116301078382917,0.1644909530878067
001159.npy,20.33492836560462,0.44560466427190765,0.2559686005115509
001200.npy,23.016247502422992,0.6831338450642638,0.17180004715919495
001306.npy,19.013213291928075,0.5605923987144353,0.24242234230041504
001507.npy,20.902463129128446,0.633907805294157,0.1759643256664276
001626.npy,23.989570861423637,0.4802761242451379,0.1786486804485321
001804.npy,25.759590930281774,0.5732296806929037,0.1376899778842926
001830.npy,20.479278079218993,0.5025732913487286,0.2245263159275055
002151.npy,22.292294023392895,0.42106882083913705,0.2177337259054184
002279.npy,23.481229197360214,0.6445717978877095,0.1566011607646942
002390.npy,22.848965740039425,0.3009162429635031,0.3045172691345215
002411.npy,22.77774748152639,0.5078154911374251,0.18372604250907898
002443.npy,24.032637103798873,0.3759031758743469,0.2064211517572403
002465.npy,23.10589041655563,0.30311276597332176,0.30744805932044983
002557.npy,23.773864524214172,0.5828080373366517,0.1612270325422287
002587.npy,26.031765968886738,0.7217912140999371,0.1312517672777176
002588.npy,25.54282617159485,0.7025990073507065,0.14446131885051727
002608.npy,25.56999007208479,0.30444334816539287,0.23936006426811218
002626.npy,23.814823862644623,0.5446898775565859,0.18716171383857727
002669.npy,20.992797582570113,0.2505231546795972,0.2100715935230255
002711.npy,27.152641914998938,0.713399134555591,0.16928189992904663
002834.npy,24.059013150986747,0.4937032144966363,0.2097592055797577
003205.npy,25.523087667086656,0.41833713228187247,0.2962898015975952
003206.npy,25.71046426761983,0.42394600075535976,0.2428763508796692
003616.npy,22.45520294454434,0.24322377550524962,0.22072838246822357
000046.npy,26.358593391837722,0.7042418172862921,0.08839747309684753
000302.npy,25.286814797208756,0.8214273044261933,0.0751241147518158
000613.npy,23.131224163790055,0.8284584354648702,0.11821115016937256
000715.npy,25.933497621664973,0.8228408376880214,0.12847253680229187
000734.npy,24.748193671386865,0.8169608666894213,0.08855488151311874
000999.npy,26.38034345067168,0.7584831347697452,0.08099748194217682
