file,psnr,ssim,lpips
003505.npy,22.441165996602344,0.5763201327722682,0.18747738003730774
003541.npy,22.076483611384777,0.32768393183736877,0.21221883594989777
003553.npy,25.18180480827894,0.7774152851901968,0.14116491377353668
003740.npy,20.866595983937266,0.5694531713237269,0.17539814114570618
003810.npy,23.431403554887883,0.35969507542133006,0.21440055966377258
004285.npy,20.504001620859576,0.3469468706784142,0.2688280940055847
004592.npy,19.805075275184965,0.381185297063712,0.2799694836139679
004631.npy,20.286394209570044,0.47615444921031197,0.2105139195919037
004675.npy,21.657484005758203,0.4646264801008096,0.1630498766899109
000054.npy,23.007677910119853,0.578735224148883,0.17293179035186768
000055.npy,23.40457621674702,0.5926156846564459,0.163583442568779
000063.npy,20.477869513396225,0.6261574654329485,0.16805261373519897
000157.npy,23.190096343845816,0.6870261224473697,0.13304606080055237
000211.npy,18.393729414362035,0.533746862395422,0.18495884537696838
000216.npy,20.60919768423843,0.36901077946218336,0.21581251919269562
000224.npy,25.551144459229647,0.5156310901542418,0.0957774668931961
000873.npy,17.497601612631954,0.3793094449216339,0.24303118884563446
000875.npy,17.365831999685255,0.3625738513286237,0.3104248642921448
001042.npy,19.09071430277342,0.5678243916308134,0.12903225421905518
001049.npy,20.935730848303628,0.5529896367873752,0.24497169256210327
001095.npy,24.872350811860716,0.5150252156484595,0.13586509227752686
001097.npy,23.748558267529503,0.610112420469006,0.15102344751358032
001159.npy,20.297291701007104,0.45104426634613404,0.2407371550798416
001200.npy,22.96890434466826,0.6821353348752661,0.15213094651699066
001306.npy,18.87169234417088,0.5605619370873344,0.23221634328365326
001507.npy,20.861451193717862,0.6373861237796219,0.16726911067962646
001626.npy,23.92413018694217,0.4777401624305757,0.17207218706607819
001804.npy,25.738940614598903,0.570546847945366,0.11919645220041275
001830.npy,20.393865257036165,0.506641184258,0.20799309015274048
002151.npy,22.246903811839573,0.42219130357002776,0.2156863510608673
002279.npy,23.42563863616428,0.6398860409621685,0.14664433896541595
002390.npy,22.804151959613904,0.3057524230140143,0.26170721650123596
