file,cluster,psnr,ssim,lpips,composite
001100.npy,0,20.459994355733556,0.41161019216114425,0.2202981561422348,0.5184372199114933
001119.npy,0,25.834685692067183,0.46654200348334385,0.15011847019195557,0.6795786375875112
001122.npy,0,21.818026721136906,0.4917352873446331,0.20883570611476898,0.5791448986574415
001132.npy,0,22.409509529044648,0.2780943334934972,0.17187924683094025,0.5333941295329556
001199.npy,0,22.614072249056942,0.6400690605898331,0.15755660831928253,0.6633724229581155
001221.npy,0,21.07148388313041,0.42468453879589985,0.22947025299072266,0.5333266260046237
001272.npy,0,22.484882633458476,0.5404790124691995,0.2095714956521988,0.6099665641269663
001316.npy,0,23.597697862254638,0.6069311570035256,0.16932228207588196,0.6702629108037621
001342.npy,0,22.543833840325004,0.5869225842764676,0.23987720906734467,0.6166558770769299
001361.npy,0,23.36310566056728,0.4194088442522334,0.21522055566310883,0.5872428886534256
001409.npy,0,21.073290255877207,0.5794242410630789,0.1998755782842636,0.5948115599457653
001415.npy,0,24.506604359669943,0.4118328272863436,0.4207989275455475,0.5416025079062641
001436.npy,0,24.559313160792286,0.3375637259875475,0.16335001587867737,0.6038337513872297
001590.npy,0,23.204775589860432,0.6010264950890541,0.16681277751922607,0.6603995856312856
001592.npy,0,22.18216042883514,0.6042762914473421,0.17610427737236023,0.6356609031102192
001664.npy,0,20.96648053845428,0.25234741508482395,0.1828174889087677,0.4890984318021139
001666.npy,0,22.290282455151797,0.703380191265583,0.15930964052677155,0.6766964603607548
001672.npy,0,21.133201800049015,0.31344262893086683,0.22242172062397003,0.49996700943672145
001727.npy,0,23.57612201327152,0.5433660889556741,0.1825760304927826,0.6441771753381087
001733.npy,0,20.463466595464467,0.3151875020035543,0.1991831362247467,0.4934118240477018
001747.npy,0,21.707658154604026,0.5086379410913586,0.17488783597946167,0.593642438472944
001754.npy,0,22.130420132904305,0.5440322676303293,0.12963274121284485,0.6299202895370349
001793.npy,0,23.30013804394948,0.5874202554106005,0.19801875948905945,0.6475813440616132
001825.npy,0,21.663322814412783,0.6081610320152887,0.19266292452812195,0.6199065428160062
001835.npy,0,20.86949391352451,0.45172148219367886,0.20296108722686768,0.5466866630672594
001891.npy,0,29.036167613530594,0.7085957795445686,0.2705203890800476,0.791273299344409
001992.npy,0,28.63932905303539,0.7287906770656108,0.13523976504802704,0.8342798385177588
002203.npy,0,27.26588524253068,0.764615617251113,0.17105431854724884,0.8037623271797476
002230.npy,0,25.057565575872097,0.4468137832646166,0.20720908045768738,0.6367030248439118
002241.npy,0,25.942619979424943,0.6990757595500946,0.25125831365585327,0.7257751481741903
002243.npy,0,25.942668691217627,0.6749859848587662,0.2525995075702667,0.7172992411232249
002253.npy,0,24.76696727802128,0.6753796188632818,0.2730514109134674,0.6844864532726332
002284.npy,0,19.47211638898915,0.3250408043612351,0.2553532123565674,0.45594289486798145
002308.npy,0,22.387108469500863,0.7122295075157657,0.16979554295539856,0.6783026208423637
002419.npy,0,26.462662758914473,0.6320308852349036,0.28551530838012695,0.7035643647052472
002435.npy,0,23.953285412818452,0.46089173316627335,0.1696362942457199,0.6293803777028166
002478.npy,0,25.626223301728853,0.6379773938662038,0.292579710483551,0.6846041900548587
002575.npy,0,23.647677110059284,0.41552555812952996,0.23034125566482544,0.5872320366006634
002603.npy,0,22.12539455622484,0.6637000687141587,0.1995561569929123,0.6463900718231896
002673.npy,0,22.653189088656177,0.3333583929769341,0.17154201865196228,0.5573429934117945
003220.npy,0,19.76508452205626,0.48419629260134184,0.25722384452819824,0.5148815831811869
