file,spearman_r,spearman_p
003572.npy,0.34737256908737907,0.0
003644.npy,0.4193421678157066,0.0
003674.npy,0.32068728231430804,0.0
003720.npy,0.2625845021731161,0.0
003730.npy,0.5829840183460343,0.0
003792.npy,0.34384386109391174,0.0
003949.npy,0.19384876777756443,0.0
004087.npy,0.2640832487693787,0.0
004126.npy,0.46296538110483915,0.0
004127.npy,0.4917159461168069,0.0
004449.npy,0.40089503782939917,0.0
004489.npy,0.3996223150525121,0.0
004663.npy,0.36137624889640974,0.0
004734.npy,0.4500483737275248,0.0
004749.npy,0.3209285348460681,0.0
004753.npy,0.2797568661195971,0.0
004766.npy,0.5426394916035784,0.0
000058.npy,0.26500459911691604,0.0
000095.npy,0.03288027354555722,3.782048556233593e-17
000113.npy,0.13577693682994074,3.69015259072638e-267
000139.npy,0.04307601095976718,2.667444621724649e-28
000152.npy,0.12275244503484127,2.2100900568895673e-218
000285.npy,0.11863243471185844,5.258297141301624e-204
000358.npy,0.19036202737387511,0.0
000368.npy,0.04771109581862763,2.408023565896274e-34
000377.npy,0.10406921667712474,3.256653869984342e-157
000400.npy,0.07816463198842238,2.4464905621159914e-89
000455.npy,0.061866059973362295,1.3489392122040845e-56
000473.npy,0.11001384737459174,1.4730792246640977e-175
000483.npy,0.07815220427454266,2.608718772606804e-89
000501.npy,0.22951024715857496,0.0
000528.npy,0.12329814024591698,2.5258669435890494e-220
000533.npy,0.08938401773652084,2.4556970130769923e-116
000624.npy,0.10891332398961921,4.393271169933765e-172
000646.npy,0.06133602605044889,1.1654972339155535e-55
000666.npy,0.11080436132077127,4.4708474829204155e-178
000675.npy,0.06968619087676653,2.3718086178644625e-71
000688.npy,0.11443990207637837,6.815488807595766e-190
000751.npy,0.21189566454254505,0.0
000839.npy,0.050604981021349846,1.985087081103469e-38
000842.npy,0.06324124337848522,4.598335030514421e-59
001005.npy,0.06570304594334914,1.288250253859134e-63
001012.npy,0.06439284967533643,3.585947513477418e-61
001094.npy,0.08282014694207458,4.252195670257614e-100
001135.npy,0.061706942830065954,2.582160610773514e-56
001139.npy,0.08845062939076177,5.9655313115850615e-114
001184.npy,0.13892731907411263,1.0111815726885259e-279
001189.npy,0.2600039585307922,0.0
001217.npy,0.11508862922947898,4.828602168341942e-192
001296.npy,0.20925724145645344,0.0
001297.npy,0.2422414504525001,0.0
001329.npy,0.17775065805613383,0.0
001379.npy,0.11926378309088474,3.5523056486584143e-206
001444.npy,0.11199938369461095,6.44424724342522e-182
001482.npy,0.11832105385246292,6.122092952398449e-203
001488.npy,0.12385837121921217,2.508770987528714e-222
001570.npy,0.22036967270922503,0.0
001634.npy,0.14230723450786215,1.5656221200707769e-293
001649.npy,0.06128875965840933,1.4113515249037967e-55
001673.npy,0.07300919925331008,3.7378461489208387e-78
001692.npy,0.09757420763665027,2.3423489644620028e-138
001714.npy,0.10561642051914488,6.891387483238765e-162
001762.npy,0.12150542450614095,5.6106000569853145e-214
001778.npy,0.03827749394971982,1.09894320841174e-22
002049.npy,0.2440989045672647,0.0
002159.npy,0.11845256820145703,2.1726681561198235e-203
002169.npy,0.1374004420302508,1.350804291121336e-273
002170.npy,0.1583150950765756,0.0
002198.npy,0.07201661275281943,4.343649940098777e-76
002310.npy,0.09604335599230414,4.3085262085879355e-134
002342.npy,0.03957765408386429,3.837844318288122e-24
002346.npy,0.0672814637789816,1.2572821282015172e-66
002348.npy,0.03595380761467565,3.354425136433407e-20
002380.npy,0.23536811305477393,0.0
002433.npy,0.10052989399679166,8.743766915506789e-147
002534.npy,0.09913264820846411,9.072438924353551e-143
002566.npy,0.09297806745360943,9.288420160622168e-126
002619.npy,0.0995688997547388,5.128242382652951e-144
002633.npy,0.09505930956497094,2.1855033196380154e-131
002647.npy,0.0871464242805641,1.1651777435723113e-110
002656.npy,0.06690360798617122,6.708875667695097e-66
002965.npy,0.09500801241414047,3.0185334422172215e-131
003038.npy,0.06336241727738105,2.7706764022231342e-59
003068.npy,0.29282174793760446,0.0
003134.npy,0.19806924295485628,0.0
003428.npy,0.14555232732704207,4.0784118288804065e-307
003505.npy,0.24017084310799205,0.0
003541.npy,0.10874545604587348,1.4778906139634671e-171
003553.npy,0.20764855810329733,0.0
003740.npy,0.21830828557347878,0.0
003810.npy,0.20371205856045851,0.0
004285.npy,0.16251959874500943,0.0
004592.npy,0.1634066248502069,0.0
004631.npy,0.20072684280111638,0.0
004675.npy,0.14989589053329316,0.0
000054.npy,0.07784813699508092,1.2510170667555087e-88
000055.npy,0.053001692621713684,5.42917941792796e-42
000063.npy,0.12139609012097945,1.3582650297712905e-213
000157.npy,0.10373094991453091,3.3526518303201805e-156
000211.npy,0.10823785569550452,5.723993108447437e-170
000216.npy,0.10850779483281517,8.205852067221036e-171
000224.npy,0.09578225293543917,2.2640114464130135e-133
000873.npy,0.17342684804493383,0.0
000875.npy,0.29134908216418204,0.0
001042.npy,0.08183227326921944,9.210319328983996e-98
001049.npy,0.11646839475547675,1.1757313547615837e-196
001095.npy,0.023441382813749013,1.952572326292808e-09
001097.npy,0.03372849130745608,5.781642605594145e-18
001159.npy,0.0798733247331239,3.2528340275526833e-93
001200.npy,0.06060068132800385,2.2514155643026894e-54
001306.npy,0.09863855983273669,2.3130004890346437e-141
001507.npy,0.10335180329266433,4.533028977957054e-155
001626.npy,0.1825161837971107,0.0
001804.npy,0.10945897628096116,8.404674887095618e-174
001830.npy,0.1029353110645307,7.833001998419644e-154
002151.npy,0.08401154418808035,5.944526681551613e-103
002279.npy,0.3011540629705597,0.0
